"id","name","state_id","REFRESH_DATE"
6161,Garopaba,134,2022-06-03 14:47:32.480
6172,Herval d'Oeste,134,2022-06-03 14:47:32.480
6182,Ipira,134,2022-06-03 14:47:32.480
6424,Macambira,135,2022-06-03 14:47:32.480
6494,Araçariguama,136,2022-06-03 14:47:32.480
6535,Bocaina,136,2022-06-03 14:47:32.480
6606,Cotia,136,2022-06-03 14:47:32.480
6685,Herculândia,136,2022-06-03 14:47:32.480
6729,Itapirapuã Paulista,136,2022-06-03 14:47:32.480
6736,Itatiba,136,2022-06-03 14:47:32.480
6885,Paulicéia,136,2022-06-03 14:47:32.480
6981,Rubiácea,136,2022-06-03 14:47:32.480
7039,Sorocaba,136,2022-06-03 14:47:32.480
7053,São José do Rio Preto,136,2022-06-03 14:47:32.480
7136,Águas de São Pedro,136,2022-06-03 14:47:32.480
7234,Palmas,137,2022-06-03 14:47:32.480
7298,Antofagasta,139,2022-06-03 14:47:32.480
7302,Mejillones,139,2022-06-03 14:47:32.480
7372,Santa Bárbara,144,2022-06-03 14:47:32.480
7388,Monte Patria,145,2022-06-03 14:47:32.480
7449,Pichidegua,147,2022-06-03 14:47:32.480
7470,San Francisco de Mostazal,148,2022-06-03 14:47:32.480
7537,Linares,152,2022-06-03 14:47:32.480
7542,Pelarco,152,2022-06-03 14:47:32.480
7634,Alto Hospicio,155,2022-06-03 14:47:32.480
7674,San Antonio,156,2022-06-03 14:47:32.480
7685,Chillán,157,2022-06-03 14:47:32.480
7832,Uramita,159,2022-06-03 14:47:32.480
7839,Yalí,159,2022-06-03 14:47:32.480
7845,Arauquita,160,2022-06-03 14:47:32.480
7876,Bogotá,163,2022-06-03 14:47:32.480
7955,Duitama,166,2022-06-03 14:47:32.480
7976,Miraflores,166,2022-06-03 14:47:32.480
7990,Pauna,166,2022-06-03 14:47:32.480
8065,Pácora,167,2022-06-03 14:47:32.480
8067,Risaralda,167,2022-06-03 14:47:32.480
8116,Bolívar,170,2022-06-03 14:47:32.480
8126,Guapi,170,2022-06-03 14:47:32.480
8128,Inzá,170,2022-06-03 14:47:32.480
8184,Atrato,172,2022-06-03 14:47:32.480
8217,Apulo,173,2022-06-03 14:47:32.480
8328,Zipacón,173,2022-06-03 14:47:32.480
8367,Pana Pana,175,2022-06-03 14:47:32.480
8433,Ciénaga,179,2022-06-03 14:47:32.480
8574,Herrán,182,2022-06-03 14:47:32.480
8603,Puerto Guzmán,183,2022-06-03 14:47:32.480
8616,Filandia,184,2022-06-03 14:47:32.480
8730,Corozal,188,2022-06-03 14:47:32.480
8765,Dolores,189,2022-06-03 14:47:32.480
8888,Hojancha,195,2022-06-03 14:47:32.480
8955,Jacó,199,2022-06-03 14:47:32.480
8990,Salitral,200,2022-06-03 14:47:32.480
9122,Las Tunas,210,2022-06-03 14:47:32.480
9154,Quivicán,212,2022-06-03 14:47:32.480
9190,Contramaestre,215,2022-06-03 14:47:32.480
9202,Cifuentes,216,2022-06-03 14:47:32.480
9205,Esperanza,216,2022-06-03 14:47:32.480
9207,Manicaragua,216,2022-06-03 14:47:32.480
9270,Rio Verde,235,2022-06-03 14:47:32.480
9291,Palestina,237,2022-06-03 14:47:32.480
9428,Ayutuxtepeque,262,2022-06-03 14:47:32.480
9438,San Salvador,262,2022-06-03 14:47:32.480
9495,San Agustín Chahal,275,2022-06-03 14:47:32.480
9537,San Jacinto,278,2022-06-03 14:47:32.480
9640,Yupiltepeque,285,2022-06-03 14:47:32.480
9649,Municipio de San Andrés,286,2022-06-03 14:47:32.480
9670,Flores Costa Cuca,287,2022-06-03 14:47:32.480
9698,Chichicastenango,288,2022-06-03 14:47:32.480
9823,Municipio de Santa Cruz La Laguna,293,2022-06-03 14:47:32.480
9849,Pueblo Nuevo,294,2022-06-03 14:47:32.480
9889,New Amsterdam,300,2022-06-03 14:47:32.480
10078,San Jerónimo,320,2022-06-03 14:47:32.480
10115,El Agua Dulcita,322,2022-06-03 14:47:32.480
10162,La Entrada,323,2022-06-03 14:47:32.480
10247,El Benque,325,2022-06-03 14:47:32.480
10308,Reitoca,326,2022-06-03 14:47:32.480
10311,San Antonio de Oriente,326,2022-06-03 14:47:32.480
10352,San Isidro,328,2022-06-03 14:47:32.480
10387,Gualcince,331,2022-06-03 14:47:32.480
10415,Concepción,332,2022-06-03 14:47:32.480
10447,Jano,333,2022-06-03 14:47:32.480
10454,Laguna Seca,333,2022-06-03 14:47:32.480
10565,Punta Ocote,336,2022-06-03 14:47:32.480
10613,Johns Hall,338,2022-06-03 14:47:32.480
10706,Central Down Town,342,2022-06-03 14:47:32.480
